time_s,E,C,Psi,H_e,H_c,M_r
1.17,0.6097628863526645,0.6840395652768912,0.5253878061364401,-0.09079082732889007,-0.2521459990500043,0.29178248987692157
1.18,0.639089908399256,0.7226926047770725,0.525574336621099,-0.09401741866061662,-0.25348806156922254,0.2975932184470998
1.19,0.6162705996513906,0.6770416279053876,0.5257604007795462,-0.09477071379301377,-0.2564847436227288,0.29390264999691607
1.2,0.6019991486478867,0.6778370661576637,0.5259459997775974,-0.09592403881145178,-0.25962752736060907,0.2940388815713982
1.21,0.6402295277785318,0.7080397312119799,0.5261311347781534,-0.09605705495313836,-0.26229385321750687,0.2994808823543671
1.22,0.6674114381665504,0.7318815496433655,0.526315806941208,-0.09664023768095555,-0.2643053712942198,0.3038595159799114
1.23,0.6281720437344034,0.6518428907117472,0.526500017423855,-0.0964793842316637,-0.2657077486898804,0.29589925809063444
1.24,0.6609912127650894,0.703466835926697,0.5266837673802953,-0.09874654424013149,-0.2657777095653241,0.30232558333692827
1.25,0.6439275712746696,0.7274303932071632,0.5268670579618446,-0.09992559356224644,-0.26768856491034404,0.30348969352776034
1.26,0.5975226741766887,0.664176237937666,0.52704989031694,-0.10101852416931865,-0.2715291519761632,0.29723502469700613
1.27,0.6222698237699374,0.6735764386547491,0.5272322655911477,-0.10084412820397053,-0.2749075377512542,0.30039440963568287
1.28,0.6594532383412939,0.7031330957361848,0.5274141849271698,-0.10176628174724549,-0.2777957791798233,0.3060846167851907
1.29,0.5784628833577647,0.6827812083230458,0.5275956494648519,-0.10145489863775377,-0.27979945027313774,0.29928040321517346
1.3,0.5798062203523245,0.6537200025199611,0.5277766603411898,-0.10202236094975514,-0.28246877575655144,0.2984439725976047
1.31,0.597505320504796,0.6508551011795042,0.5279572186903367,-0.10246576364919838,-0.2837174753334484,0.29992216878040096
1.32,0.5447310659650466,0.6753264236089553,0.5281373256436109,-0.1023960485664483,-0.2864624664778581,0.2984107596487342
1.33,0.6097760443698177,0.6872162590283902,0.5283169823295019,-0.10329844939513762,-0.29216959265316056,0.3054946596015324
1.34,0.6381068062621298,0.6942754487375672,0.5284961898736781,-0.10361771229419331,-0.2954079759482697,0.30897367598324943
1.35,0.6171915202468528,0.6723830616532924,0.5286749493989938,-0.10496217834555098,-0.29715804158729164,0.30679725379534195
1.36,0.5667753417032662,0.6468199393339874,0.5288532620254963,-0.10600749347466708,-0.29807711231230516,0.30219171924510657
1.37,0.5475546727820914,0.6630599216245372,0.5290311288704326,-0.10845778925772873,-0.3007948092115183,0.3031458187634226
1.3800000000000001,0.6217522369884781,0.711007173438824,0.5292085510482565,-0.10881560691846232,-0.3018685032206015,0.3119429701135645
1.3900000000000001,0.6363339253446129,0.6880073315587416,0.5293855296706358,-0.10996878065319911,-0.3044061007846228,0.31245477376884084
1.4000000000000001,0.6507562427648791,0.6494718420513087,0.5295620658464592,-0.10999205554021704,-0.3085039545969431,0.3119085899034867
1.41,0.6071563265004818,0.7004512032362283,0.529738160681843,-0.10927864783800816,-0.31080232631685567,0.31261894933984175
1.42,0.5627472522948974,0.6667710729459346,0.5299138152801384,-0.10985053602659989,-0.3139102990120258,0.30822515458900734
1.43,0.6213547894892615,0.6981758005780191,0.530089030741938,-0.10988698497613661,-0.3165042983867058,0.31520631562053214
1.44,0.5888052246785922,0.6827920119833989,0.5302638081650832,-0.11096328169057222,-0.31904618260209855,0.3127373809860777
1.45,0.5630867525900124,0.6679433254061388,0.5304381486446705,-0.111938559241996,-0.32260479954450144,0.3111420378258552
1.46,0.6508031020342643,0.7194003203894473,0.5306120532730588,-0.1127905991492313,-0.32335436636616716,0.3215325468330369
1.47,0.5627333318512325,0.7032929508949803,0.5307855231398761,-0.1137724839367677,-0.3259562015903784,0.314630036304858
1.48,0.6431139905037777,0.7377075737839763,0.5309585593320264,-0.11380794685394588,-0.32950833895318526,0.3241339940142122
