time_h,D,E,C,H_e,M_t
0.8200000000000001,0.48555010142382043,0.6094259045300475,0.5930386823164037,0.10023729614036483,0.08793878933300672
0.8300000000000001,0.49603503510453567,0.5600148756664164,0.6292910148881034,0.10346341946556357,0.0889128440091973
0.84,0.506525735398707,0.6099266878610577,0.6122242707876525,0.10749393779336883,0.08989247549339156
0.85,0.5170184216040463,0.6234385678937094,0.5992253844824246,0.1111519681671059,0.09086808019528803
0.86,0.5275093682417421,0.6410864021136374,0.6019027512793736,0.11424548874363308,0.09184612491399957
0.87,0.5379949062045783,0.5985152829260476,0.6072341536258076,0.11814580842069954,0.09280908045021752
0.88,0.5484714238128652,0.6148242292599557,0.5532485521302019,0.12196084278197349,0.09375682178596595
0.89,0.5589353677815891,0.6376953009368185,0.5824006546803856,0.12571181851580382,0.09471517323836344
0.9,0.5693832441021166,0.6028389780063949,0.5658037091420439,0.12950600829818495,0.09565511176487979
0.91,0.5798116188416632,0.6324483620396417,0.5872577067221055,0.1332289738416504,0.09660518836707412
0.92,0.5902171188636727,0.5641947387084937,0.5903584740969946,0.1370671380139059,0.09753321654330593
0.93,0.6005964324721326,0.6377542276708562,0.6170863069796897,0.14150218442567186,0.09848462803555144
0.9400000000000001,0.6109463099827859,0.5960056289804556,0.5784107211226756,0.1460794239156686,0.09940833612340313
0.9500000000000001,0.6212635642240949,0.5983191786750868,0.5494649054498089,0.15077791958899414,0.10031971049550806
0.96,0.6315450709707426,0.6279521989429897,0.5972639602955118,0.15560356005429976,0.10124714960184546
0.97,0.641787769312359,0.6272931844051389,0.5640322500719008,0.16047127821185725,0.10215963562335785
0.98,0.6519886619600962,0.6401520485277189,0.5740321886594931,0.16515755919829694,0.10307336179006014
0.99,0.6621448154935806,0.5925841420497096,0.5963706387518475,0.16972770428561781,0.1039758598050447
1.0,0.6722533605507098,0.6245272336463232,0.5468508387605957,0.1751093286048466,0.10486737384834215
1.01,0.682311491962677,0.6855444144708455,0.5385547870219072,0.17967505447129928,0.10576653067552565
1.02,0.6923164688365363,0.651856497788841,0.5658332801797777,0.1845559600867474,0.10666040769020048
1.03,0.7022656145875507,0.6336093805458496,0.5658619487124747,0.18965196563525602,0.10754437837603886
1.04,0.7121563169235015,0.6720410333697415,0.5410093873058326,0.19474253451224102,0.10842531750322446
1.05,0.7219860277830634,0.6559443147473892,0.5189119327332624,0.2005947497195375,0.1092900482660336
1.06,0.7317522632302855,0.6791753324256894,0.5341555371598309,0.20584869910681716,0.11015921761642748
1.07,0.7414526033071609,0.6593948746316136,0.576034737423819,0.21179115334807502,0.11102978302205906
1.08,0.7510846918461996,0.7071948483960049,0.5309815154003037,0.21741672248405436,0.11189271661153023
1.09,0.7606462362448623,0.6757740744162539,0.5332219004573331,0.22288315453933777,0.11274355253916671
1.1,0.7701350072036509,0.681611509340812,0.5169904190753773,0.2279000036701371,0.11358595580270907
1.11,0.7795488384296,0.6409598512645204,0.5515611514380486,0.23306291860953485,0.11442371047493644
1.12,0.7888856263068523,0.661150514782358,0.510296390634392,0.23902244757948674,0.11524876325007416
1.1300000000000001,0.7981433295359532,0.7037881381972582,0.512487710778512,0.2445484957424267,0.11607819632676011
1.1400000000000001,0.807319968743436,0.668540128255274,0.5488368699699246,0.24945184018956407,0.11690543625465102
1.1500000000000001,0.8164136260632362,0.7071691228307895,0.48973352807072995,0.2555762842426932,0.11771809819027801
